Week, stock market

2018-01-14,10
2018-01-21,6
2018-01-28,25
2018-02-04,100
2018-02-11,23
2018-02-18,12
2018-02-25,17
2018-03-04,16
2018-03-11,9
2018-03-18,25
2018-03-25,21
2018-04-01,24
2018-04-08,11
2018-04-15,16
2018-04-22,12
2018-04-29,10
2018-05-06,4
2018-05-13,4
2018-05-20,5
2018-05-27,9
2018-06-03,9
2018-06-10,8
2018-06-17,10
2018-06-24,16
2018-07-01,3
2018-07-08,7
2018-07-15,7
2018-07-22,11
2018-07-29,7
2018-08-05,9
2018-08-12,6
2018-08-19,8
2018-08-26,7
2018-09-02,9
2018-09-09,7
2018-09-16,3
2018-09-23,6
2018-09-30,9
2018-10-07,34
2018-10-14,19
2018-10-21,26
2018-10-28,17
2018-11-04,12
2018-11-11,12
2018-11-18,24
2018-11-25,9
2018-12-02,23
2018-12-09,16
2018-12-16,40
2018-12-23,46
2018-12-30,24
2019-01-06,20
2019-01-13,8
2019-01-20,13
2019-01-27,8
2019-02-03,6
2019-02-10,7
2019-02-17,0
2019-02-24,8
2019-03-03,7
2019-03-10,9
2019-03-17,5
2019-03-24,4
2019-03-31,7
2019-04-07,8
2019-04-14,10
2019-04-21,8
2019-04-28,5
2019-05-05,20
2019-05-12,21
2019-05-19,8
2019-05-26,16
2019-06-02,9
2019-06-09,7
2019-06-16,5
2019-06-23,6
2019-06-30,9
2019-07-07,5
2019-07-14,4
2019-07-21,0
2019-07-28,12
2019-08-04,27
2019-08-11,29
2019-08-18,19
2019-08-25,13
2019-09-01,8
2019-09-08,7
2019-09-15,7
2019-09-22,13
2019-09-29,12
2019-10-06,7
2019-10-13,3
2019-10-20,4
2019-10-27,6
2019-11-03,3
2019-11-10,7
2019-11-17,7
2019-11-24,6
2019-12-01,11
2019-12-08,8
2019-12-15,10
2019-12-22,8
2019-12-29,12
2020-01-05,4
2020-01-12,13
2020-01-19,12
2020-01-26,13
2020-02-02,16
2020-02-09,12
2020-02-16,7
2020-02-23,76
2020-03-01,52
2020-03-08,85
2020-03-15,59
2020-03-22,42
2020-03-29,31
2020-04-05,37
2020-04-12,39
2020-04-19,34
2020-04-26,21
2020-05-03,24
2020-05-10,24
2020-05-17,23
2020-05-24,21
2020-05-31,16
2020-06-07,48
2020-06-14,27
2020-06-21,19
2020-06-28,22
2020-07-05,19
2020-07-12,19
2020-07-19,20
2020-07-26,15
2020-08-02,17
2020-08-09,13
2020-08-16,16
2020-08-23,14
2020-08-30,19
2020-09-06,21
2020-09-13,7
2020-09-20,19
2020-09-27,18
2020-10-04,24
2020-10-11,16
2020-10-18,13
2020-10-25,19
2020-11-01,20
2020-11-08,19
2020-11-15,15
2020-11-22,13
2020-11-29,10
2020-12-06,9
2020-12-13,15
2020-12-20,11
2020-12-27,17
2021-01-03,14
2021-01-10,17
2021-01-17,13
2021-01-24,51
2021-01-31,18
2021-02-07,16
2021-02-14,14
2021-02-21,32
2021-02-28,32
2021-03-07,17
2021-03-14,18
2021-03-21,15
2021-03-28,14
2021-04-04,12
2021-04-11,13
2021-04-18,20
2021-04-25,7
2021-05-02,13
2021-05-09,19
2021-05-16,7
2021-05-23,4
2021-05-30,9
2021-06-06,9
2021-06-13,16
2021-06-20,8
2021-06-27,6
2021-07-04,12
2021-07-11,10
2021-07-18,16
2021-07-25,5
2021-08-01,5
2021-08-08,5
2021-08-15,11
2021-08-22,10
2021-08-29,9
2021-09-05,6
2021-09-12,2
2021-09-19,23
2021-09-26,17
2021-10-03,14
2021-10-10,11
2021-10-17,9
2021-10-24,6
2021-10-31,10
2021-11-07,12
2021-11-14,5
2021-11-21,5
2021-11-28,23
2021-12-05,8
2021-12-12,13
2021-12-19,15
2021-12-26,9
2022-01-02,12
2022-01-09,14
2022-01-16,25
2022-01-23,32
2022-01-30,17
2022-02-06,10
2022-02-13,22
2022-02-20,27
2022-02-27,22
2022-03-06,20
2022-03-13,16
2022-03-20,13
2022-03-27,10
2022-04-03,13
2022-04-10,7
2022-04-17,14
2022-04-24,21
2022-05-01,10
2022-05-08,31
2022-05-15,22
2022-05-22,16
2022-05-29,9
2022-06-05,14
2022-06-12,32
2022-06-19,14
2022-06-26,13
2022-07-03,8
2022-07-10,10
2022-07-17,7
2022-07-24,10
2022-07-31,7
2022-08-07,8
2022-08-14,7
2022-08-21,11
2022-08-28,6
2022-09-04,9
2022-09-11,15
2022-09-18,15
2022-09-25,9
2022-10-02,11
2022-10-09,11
2022-10-16,16
2022-10-23,9
2022-10-30,14
2022-11-06,13
2022-11-13,6
2022-11-20,4
2022-11-27,7
2022-12-04,3
2022-12-11,11
2022-12-18,12
2022-12-25,9
2023-01-01,7
