Week, News

2017-12-03,39
2017-12-10,39
2017-12-17,38
2017-12-24,32
2017-12-31,37
2018-01-07,38
2018-01-14,41
2018-01-21,36
2018-01-28,39
2018-02-04,37
2018-02-11,35
2018-02-18,36
2018-02-25,36
2018-03-04,33
2018-03-11,35
2018-03-18,37
2018-03-25,32
2018-04-01,34
2018-04-08,39
2018-04-15,38
2018-04-22,35
2018-04-29,34
2018-05-06,34
2018-05-13,36
2018-05-20,35
2018-05-27,32
2018-06-03,33
2018-06-10,36
2018-06-17,36
2018-06-24,35
2018-07-01,33
2018-07-08,37
2018-07-15,37
2018-07-22,35
2018-07-29,34
2018-08-05,37
2018-08-12,35
2018-08-19,39
2018-08-26,35
2018-09-02,38
2018-09-09,37
2018-09-16,36
2018-09-23,43
2018-09-30,40
2018-10-07,38
2018-10-14,33
2018-10-21,35
2018-10-28,35
2018-11-04,48
2018-11-11,36
2018-11-18,29
2018-11-25,33
2018-12-02,34
2018-12-09,35
2018-12-16,32
2018-12-23,32
2018-12-30,33
2019-01-06,35
2019-01-13,37
2019-01-20,39
2019-01-27,36
2019-02-03,33
2019-02-10,34
2019-02-17,35
2019-02-24,36
2019-03-03,33
2019-03-10,34
2019-03-17,32
2019-03-24,31
2019-03-31,30
2019-04-07,30
2019-04-14,33
2019-04-21,32
2019-04-28,30
2019-05-05,31
2019-05-12,31
2019-05-19,34
2019-05-26,32
2019-06-02,31
2019-06-09,30
2019-06-16,31
2019-06-23,31
2019-06-30,32
2019-07-07,31
2019-07-14,32
2019-07-21,32
2019-07-28,33
2019-08-04,37
2019-08-11,32
2019-08-18,31
2019-08-25,33
2019-09-01,32
2019-09-08,30
2019-09-15,29
2019-09-22,34
2019-09-29,36
2019-10-06,33
2019-10-13,32
2019-10-20,32
2019-10-27,33
2019-11-03,32
2019-11-10,31
2019-11-17,32
2019-11-24,28
2019-12-01,27
2019-12-08,31
2019-12-15,34
2019-12-22,28
2019-12-29,33
2020-01-05,42
2020-01-12,33
2020-01-19,33
2020-01-26,39
2020-02-02,40
2020-02-09,34
2020-02-16,32
2020-02-23,33
2020-03-01,38
2020-03-08,51
2020-03-15,76
2020-03-22,66
2020-03-29,50
2020-04-05,45
2020-04-12,38
2020-04-19,39
2020-04-26,35
2020-05-03,32
2020-05-10,33
2020-05-17,31
2020-05-24,37
2020-05-31,55
2020-06-07,35
2020-06-14,33
2020-06-21,36
2020-06-28,36
2020-07-05,37
2020-07-12,37
2020-07-19,37
2020-07-26,36
2020-08-02,38
2020-08-09,36
2020-08-16,35
2020-08-23,36
2020-08-30,32
2020-09-06,33
2020-09-13,31
2020-09-20,31
2020-09-27,39
2020-10-04,43
2020-10-11,37
2020-10-18,40
2020-10-25,39
2020-11-01,100
2020-11-08,50
2020-11-15,42
2020-11-22,34
2020-11-29,33
2020-12-06,33
2020-12-13,36
2020-12-20,36
2020-12-27,35
2021-01-03,59
2021-01-10,46
2021-01-17,43
2021-01-24,34
2021-01-31,34
2021-02-07,35
2021-02-14,36
2021-02-21,31
2021-02-28,31
2021-03-07,30
2021-03-14,28
2021-03-21,30
2021-03-28,29
2021-04-04,29
2021-04-11,30
2021-04-18,32
2021-04-25,29
2021-05-02,27
2021-05-09,32
2021-05-16,29
2021-05-23,28
2021-05-30,28
2021-06-06,27
2021-06-13,29
2021-06-20,30
2021-06-27,30
2021-07-04,30
2021-07-11,29
2021-07-18,28
2021-07-25,30
2021-08-01,31
2021-08-08,32
2021-08-15,40
2021-08-22,40
2021-08-29,36
2021-09-05,32
2021-09-12,33
2021-09-19,34
2021-09-26,32
2021-10-03,32
2021-10-10,31
2021-10-17,30
2021-10-24,31
2021-10-31,33
2021-11-07,30
2021-11-14,33
2021-11-21,28
2021-11-28,29
2021-12-05,32
2021-12-12,32
2021-12-19,31
2021-12-26,30
2022-01-02,30
2022-01-09,28
2022-01-16,28
2022-01-23,29
2022-01-30,31
2022-02-06,27
2022-02-13,29
2022-02-20,41
2022-02-27,38
2022-03-06,32
2022-03-13,30
2022-03-20,29
2022-03-27,27
2022-04-03,27
2022-04-10,27
2022-04-17,26
2022-04-24,24
2022-05-01,25
2022-05-08,25
2022-05-15,27
2022-05-22,29
2022-05-29,27
2022-06-05,26
2022-06-12,27
2022-06-19,29
2022-06-26,29
2022-07-03,28
2022-07-10,28
2022-07-17,27
2022-07-24,26
2022-07-31,28
2022-08-07,31
2022-08-14,30
2022-08-21,28
2022-08-28,27
2022-09-04,28
2022-09-11,26
2022-09-18,26
2022-09-25,30
2022-10-02,25
2022-10-09,26
2022-10-16,25
2022-10-23,27
2022-10-30,27
2022-11-06,38
2022-11-13,31
2022-11-20,27
