Week, stock_market

2018-01-14,13
2018-01-21,11
2018-01-28,19
2018-02-04,52
2018-02-11,17
2018-02-18,13
2018-02-25,14
2018-03-04,13
2018-03-11,10
2018-03-18,15
2018-03-25,16
2018-04-01,17
2018-04-08,13
2018-04-15,11
2018-04-22,11
2018-04-29,9
2018-05-06,9
2018-05-13,8
2018-05-20,7
2018-05-27,8
2018-06-03,7
2018-06-10,8
2018-06-17,9
2018-06-24,10
2018-07-01,8
2018-07-08,8
2018-07-15,8
2018-07-22,8
2018-07-29,9
2018-08-05,8
2018-08-12,8
2018-08-19,8
2018-08-26,9
2018-09-02,8
2018-09-09,8
2018-09-16,9
2018-09-23,9
2018-09-30,11
2018-10-07,24
2018-10-14,15
2018-10-21,18
2018-10-28,16
2018-11-04,13
2018-11-11,14
2018-11-18,15
2018-11-25,13
2018-12-02,21
2018-12-09,15
2018-12-16,24
2018-12-23,32
2018-12-30,19
2019-01-06,15
2019-01-13,13
2019-01-20,13
2019-01-27,11
2019-02-03,11
2019-02-10,11
2019-02-17,12
2019-02-24,11
2019-03-03,10
2019-03-10,10
2019-03-17,11
2019-03-24,10
2019-03-31,10
2019-04-07,9
2019-04-14,11
2019-04-21,10
2019-04-28,9
2019-05-05,14
2019-05-12,15
2019-05-19,10
2019-05-26,10
2019-06-02,11
2019-06-09,9
2019-06-16,10
2019-06-23,9
2019-06-30,10
2019-07-07,9
2019-07-14,8
2019-07-21,7
2019-07-28,11
2019-08-04,18
2019-08-11,20
2019-08-18,14
2019-08-25,13
2019-09-01,10
2019-09-08,10
2019-09-15,9
2019-09-22,9
2019-09-29,12
2019-10-06,10
2019-10-13,10
2019-10-20,9
2019-10-27,10
2019-11-03,11
2019-11-10,11
2019-11-17,9
2019-11-24,10
2019-12-01,10
2019-12-08,10
2019-12-15,11
2019-12-22,11
2019-12-29,13
2020-01-05,12
2020-01-12,12
2020-01-19,13
2020-01-26,15
2020-02-02,16
2020-02-09,13
2020-02-16,14
2020-02-23,55
2020-03-01,42
2020-03-08,100
2020-03-15,82
2020-03-22,56
2020-03-29,35
2020-04-05,38
2020-04-12,29
2020-04-19,27
2020-04-26,25
2020-05-03,22
2020-05-10,21
2020-05-17,21
2020-05-24,19
2020-05-31,20
2020-06-07,30
2020-06-14,22
2020-06-21,21
2020-06-28,21
2020-07-05,18
2020-07-12,18
2020-07-19,17
2020-07-26,17
2020-08-02,16
2020-08-09,16
2020-08-16,15
2020-08-23,13
2020-08-30,22
2020-09-06,17
2020-09-13,14
2020-09-20,16
2020-09-27,15
2020-10-04,17
2020-10-11,16
2020-10-18,14
2020-10-25,20
2020-11-01,21
2020-11-08,23
2020-11-15,16
2020-11-22,20
2020-11-29,17
2020-12-06,16
2020-12-13,14
2020-12-20,17
2020-12-27,18
2021-01-03,20
2021-01-10,19
2021-01-17,23
2021-01-24,48
2021-01-31,28
2021-02-07,21
2021-02-14,22
2021-02-21,25
2021-02-28,23
2021-03-07,18
2021-03-14,15
2021-03-21,16
2021-03-28,18
2021-04-04,14
2021-04-11,15
2021-04-18,16
2021-04-25,13
2021-05-02,15
2021-05-09,19
2021-05-16,14
2021-05-23,14
2021-05-30,13
2021-06-06,11
2021-06-13,12
2021-06-20,12
2021-06-27,12
2021-07-04,13
2021-07-11,11
2021-07-18,15
2021-07-25,11
2021-08-01,10
2021-08-08,10
2021-08-15,12
2021-08-22,10
2021-08-29,10
2021-09-05,10
2021-09-12,10
2021-09-19,17
2021-09-26,14
2021-10-03,14
2021-10-10,13
2021-10-17,12
2021-10-24,13
2021-10-31,12
2021-11-07,15
2021-11-14,11
2021-11-21,17
2021-11-28,17
2021-12-05,14
2021-12-12,14
2021-12-19,17
2021-12-26,17
2022-01-02,14
2022-01-09,13
2022-01-16,20
2022-01-23,25
2022-01-30,15
2022-02-06,14
2022-02-13,15
2022-02-20,30
2022-02-27,21
2022-03-06,20
2022-03-13,17
2022-03-20,13
2022-03-27,13
2022-04-03,13
2022-04-10,16
2022-04-17,14
2022-04-24,18
2022-05-01,20
2022-05-08,25
2022-05-15,21
2022-05-22,16
2022-05-29,13
2022-06-05,14
2022-06-12,28
2022-06-19,19
2022-06-26,13
2022-07-03,11
2022-07-10,12
2022-07-17,12
2022-07-24,12
2022-07-31,11
2022-08-07,11
2022-08-14,11
2022-08-21,12
2022-08-28,13
2022-09-04,11
2022-09-11,16
2022-09-18,15
2022-09-25,16
2022-10-02,15
2022-10-09,16
2022-10-16,12
2022-10-23,13
2022-10-30,13
2022-11-06,17
2022-11-13,12
2022-11-20,11
2022-11-27,11
2022-12-04,11
2022-12-11,12
2022-12-18,11
2022-12-25,14
2023-01-01,13
