Week, bonds

2018-01-14,21
2018-01-21,47
2018-01-28,0
2018-02-04,53
2018-02-11,0
2018-02-18,53
2018-02-25,58
2018-03-04,0
2018-03-11,0
2018-03-18,64
2018-03-25,0
2018-04-01,0
2018-04-08,0
2018-04-15,0
2018-04-22,25
2018-04-29,0
2018-05-06,27
2018-05-13,67
2018-05-20,0
2018-05-27,26
2018-06-03,30
2018-06-10,0
2018-06-17,60
2018-06-24,76
2018-07-01,0
2018-07-08,0
2018-07-15,33
2018-07-22,0
2018-07-29,0
2018-08-05,0
2018-08-12,0
2018-08-19,0
2018-08-26,0
2018-09-02,0
2018-09-09,29
2018-09-16,0
2018-09-23,0
2018-09-30,27
2018-10-07,27
2018-10-14,26
2018-10-21,0
2018-10-28,39
2018-11-04,0
2018-11-11,48
2018-11-18,63
2018-11-25,36
2018-12-02,51
2018-12-09,0
2018-12-16,58
2018-12-23,0
2018-12-30,0
2019-01-06,0
2019-01-13,0
2019-01-20,41
2019-01-27,72
2019-02-03,99
2019-02-10,54
2019-02-17,0
2019-02-24,0
2019-03-03,52
2019-03-10,48
2019-03-17,66
2019-03-24,34
2019-03-31,0
2019-04-07,0
2019-04-14,36
2019-04-21,0
2019-04-28,0
2019-05-05,81
2019-05-12,0
2019-05-19,50
2019-05-26,0
2019-06-02,0
2019-06-09,0
2019-06-16,48
2019-06-23,44
2019-06-30,59
2019-07-07,0
2019-07-14,0
2019-07-21,0
2019-07-28,0
2019-08-04,89
2019-08-11,73
2019-08-18,74
2019-08-25,30
2019-09-01,26
2019-09-08,37
2019-09-15,0
2019-09-22,0
2019-09-29,0
2019-10-06,0
2019-10-13,27
2019-10-20,0
2019-10-27,50
2019-11-03,41
2019-11-10,0
2019-11-17,0
2019-11-24,32
2019-12-01,0
2019-12-08,0
2019-12-15,0
2019-12-22,55
2019-12-29,0
2020-01-05,80
2020-01-12,45
2020-01-19,63
2020-01-26,33
2020-02-02,0
2020-02-09,0
2020-02-16,0
2020-02-23,0
2020-03-01,22
2020-03-08,36
2020-03-15,33
2020-03-22,56
2020-03-29,0
2020-04-05,37
2020-04-12,34
2020-04-19,0
2020-04-26,35
2020-05-03,24
2020-05-10,0
2020-05-17,19
2020-05-24,0
2020-05-31,25
2020-06-07,0
2020-06-14,0
2020-06-21,0
2020-06-28,0
2020-07-05,0
2020-07-12,0
2020-07-19,0
2020-07-26,46
2020-08-02,0
2020-08-09,43
2020-08-16,56
2020-08-23,25
2020-08-30,57
2020-09-06,0
2020-09-13,0
2020-09-20,48
2020-09-27,72
2020-10-04,0
2020-10-11,53
2020-10-18,0
2020-10-25,0
2020-11-01,21
2020-11-08,0
2020-11-15,0
2020-11-22,0
2020-11-29,0
2020-12-06,46
2020-12-13,0
2020-12-20,0
2020-12-27,0
2021-01-03,44
2021-01-10,0
2021-01-17,0
2021-01-24,0
2021-01-31,52
2021-02-07,0
2021-02-14,50
2021-02-21,42
2021-02-28,0
2021-03-07,0
2021-03-14,14
2021-03-21,38
2021-03-28,42
2021-04-04,0
2021-04-11,41
2021-04-18,0
2021-04-25,0
2021-05-02,0
2021-05-09,27
2021-05-16,0
2021-05-23,0
2021-05-30,51
2021-06-06,0
2021-06-13,53
2021-06-20,0
2021-06-27,0
2021-07-04,0
2021-07-11,62
2021-07-18,26
2021-07-25,98
2021-08-01,25
2021-08-08,0
2021-08-15,54
2021-08-22,0
2021-08-29,25
2021-09-05,30
2021-09-12,0
2021-09-19,0
2021-09-26,0
2021-10-03,0
2021-10-10,0
2021-10-17,39
2021-10-24,0
2021-10-31,0
2021-11-07,0
2021-11-14,0
2021-11-21,0
2021-11-28,0
2021-12-05,0
2021-12-12,63
2021-12-19,0
2021-12-26,0
2022-01-02,39
2022-01-09,31
2022-01-16,100
2022-01-23,69
2022-01-30,0
2022-02-06,29
2022-02-13,37
2022-02-20,70
2022-02-27,0
2022-03-06,0
2022-03-13,0
2022-03-20,57
2022-03-27,27
2022-04-03,0
2022-04-10,48
2022-04-17,0
2022-04-24,41
2022-05-01,28
2022-05-08,0
2022-05-15,54
2022-05-22,79
2022-05-29,0
2022-06-05,43
2022-06-12,59
2022-06-19,0
2022-06-26,0
2022-07-03,24
2022-07-10,70
2022-07-17,0
2022-07-24,43
2022-07-31,68
2022-08-07,28
2022-08-14,85
2022-08-21,0
2022-08-28,24
2022-09-04,0
2022-09-11,27
2022-09-18,65
2022-09-25,74
2022-10-02,83
2022-10-09,90
2022-10-16,0
2022-10-23,90
2022-10-30,0
2022-11-06,33
2022-11-13,63
2022-11-20,46
2022-11-27,0
2022-12-04,0
2022-12-11,37
2022-12-18,0
2022-12-25,0
2023-01-01,0
